Property ID,Property Name,Address 1,Primary Property Type - Self Selected,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Latitude,Longitude,Fine_2024-2029,Fine_2030-2034,Fine_2035-2039
2842361,Selective Realty Management - 1002 Foster Avenue,1002 Foster Avenue,Multifamily Housing,1929,Not Available,107.8,571,91200.0,40.631976,-73.967416,0.0,71230.76592,87226.74213120001
2843897,Selective Realty Management - 2520 Kings Highway,2520 Kings Highway,Multifamily Housing,1940,61,79.7,245.6,54000.0,40.613217,-73.948855,0.0,17388.223776000003,26859.525480000004
2871854,Selective Realty Management - 2435 Ocean Avenue,2435 Ocean Avenue,Multifamily Housing,1935,41,93.2,374.8,71400.0,40.60239,-73.951967,0.0,36407.779632000005,48930.9452184
2874177,New York Hanover Corp - 442 West 57th Street,442 West 57th Street,Multifamily Housing,1960,Not Available,36.8,255.8,107065.0,40.76845,-73.987,0.0,0.0,0.0
2951532,Alley Pond Owners - 78-09 Springfield Blvd,78-09 Springfield Blvd,Multifamily Housing,1948,20,103.7,616.9,102144.0,40.737145,-73.747602,0.0,73716.29968281598,91631.79303936
2952005,Alley Pond Owners - 226-01 Union Turnpike,226-01 Union Turnpike,Multifamily Housing,1948,9,131.7,1042.4,135900.0,40.736197,-73.74465,33520.1057352,157474.56096720003,181310.6702556
3077007,1770-1776 West 6th St LLC - 1770 w 6th st,1770 West 6th St.,Multifamily Housing,1930,70,83.8,242.8,50100.0,40.604251,-73.978987,0.0,20135.7288756,28922.992123200005
3095969,BRG - 123-27 Merrick,123-27 Merrick Blvd.,Multifamily Housing,1972,100,23.9,94.8,51300.0,40.682781,-73.767887,0.0,0.0,0.0
3096191,BRG - 74-15 35th ave,74-15 35th Ave.,Multifamily Housing,1935,91,63.8,354.8,97170.0,40.751037,-73.89189,0.0,7934.68104108,24977.762274000008
3096452,BRG - 2022-24 Benedict Avenue,2022-24 Benedict Avenue,Multifamily Housing,1928,81,72.8,469.9,111891.0,40.834406,-73.856961,0.0,25578.220388604008,45203.283702720015
3096512,Prasad Management - 1438 Ocean Ave,1438 Ocean Ave.,Multifamily Housing,1925,57,72.2,227.1,54800.0,40.627049,-73.956655,0.0,11712.712414400004,21324.329699200007
3099722,BRG - 950 E 14th,950 East 14th st.,Multifamily Housing,1963,87,67.3,358.9,93078.0,40.626255,-73.962556,0.0,12703.591480464,29028.958517592007
3099757,BRG - 1730 East 18 St.,1730 East 18 Street,Multifamily Housing,1938,72,76.9,231.5,52000.0,40.607711,-73.955183,0.0,15403.223888,24523.736640000003
3099779,BRG - 83-09 Talbot,83-09 Talbot Street,Multifamily Housing,1923,71,91.1,552.1,105191.0,40.709608,-73.828723,0.0,53617.04598670398,72066.96631162
3099814,BRG - 84-09 Talbot,84-09 Talbot Street,Multifamily Housing,1927,69,84.5,461.5,94027.0,40.708555,-73.827579,0.0,39349.23699489999,55841.053389752
3103946,BRG - 2717 East 28 Street,2717 East 28 Street,Multifamily Housing,1955,99,39.5,739.4,290160.0,40.586702,-73.941246,0.0,0.0,0.0
3104007,BRG - 3025 Godwin Terrace,3025 Godwin Terrace,Multifamily Housing,1926,94,56.1,236.4,71775.0,40.878331,-73.906574,0.0,0.0,11569.177115100005
3104014,BRG - 4568 Manhattan College Pkwy,4568 Manhattan College Pkwy,Multifamily Housing,1925,62,76,286.2,63600.0,40.889247,-73.900363,0.0,19658.79052799999,30813.879201599997
3104054,BRG - 48-53 44th St.,48-53 44th Street,Multifamily Housing,1941,Not Available,65.5,284.6,63000.0,40.738273,-73.921562,0.0,19768.12488,30817.976868
3104074,BRG - 250 Ocean Parkway,250 Ocean Parkway,Multifamily Housing,1925,97,54,216.4,67776.0,40.643734,-73.974192,0.0,0.0,9094.480809984
3109206,Highbridge 115 West 172nd,115 West 172nd St.,Multifamily Housing,1929,80,70,272.2,64111.0,40.843947,-73.920692,0.0,15448.470443507997,26693.185694343996
3109221,Highbridge 1275 Nelson Ave.,1275 Nelson Ave.,Multifamily Housing,2001,36,91.3,392.2,70985.0,40.839262,-73.924312,0.0,41443.18873458,53893.565613440005
3109254,Highbridge 1285 Merriam Ave.,1285 Merriam Ave.,Multifamily Housing,2005,30,104.5,485.5,79948.0,40.839993,-73.926429,0.0,58408.671749648005,72431.109316896
3109598,Highbridge 1360 Merriam Ave.,1360 Merriam Ave.,Multifamily Housing,1926,58,82.8,423.2,86146.0,40.84195,-73.925346,0.0,36153.28809159999,51262.820621096
3109613,Highbridge 1382 Shakespeare Ave.,1382 Shakespeare Ave.,Multifamily Housing,2009,63,77.3,663.2,139774.0,40.841533,-73.921573,0.0,52374.354363984006,76889.94185240801
3109624,Highbridge 1401 Jesup Ave.,1401 Jesup Ave.,Multifamily Housing,2006,48,88.7,449.2,83661.0,40.84126,-73.920739,0.0,45350.09015990399,60023.76741654
3109638,Highbridge 1404 Jesup Ave.,1404 Jesup Ave.,Multifamily Housing,2006,95,39.9,339.8,117679.0,40.841192,-73.920768,0.0,0.0,6160.406684676007
3109642,Highbridge 1419 Shakespeare Ave.,1419 Shakespeare Ave.,Multifamily Housing,1927,14,131.7,451.6,58700.0,40.842243,-73.92107,14840.499249600003,68380.7974256,78676.4531668
3109680,Highbridge 1454 Shakespeare Ave.,1454 Shakespeare Ave.,Multifamily Housing,2002,100,21.1,130.8,80000.0,40.843223,-73.920343,0.0,0.0,0.0
